index,locate,name,rating,classfications,address,hour,url
10,서울월드컵경기장,Bistro ever 비스트로 에버,4.4,이탈리아 음식점,34-101 마포구 서울특별시 KR, 11:30~ 10:00,"https://www.google.com/maps/place/Bistro+ever+%EB%B9%84%EC%8A%A4%ED%8A%B8%EB%A1%9C+%EC%97%90%EB%B2%84/@37.5714048,126.8921061,16z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!3m5!1s0x357c99122edc6321:0x7fc8b9b88c456625!8m2!3d37.5763884!4d126.8945487!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgESaXRhbGlhbl9yZXN0YXVyYW50"
11,서울월드컵경기장,몽미,4.5,한식 고기구이 레스토랑,서울특별시 마포구 상암동 2-98번지 1층, 11:30~ 11:30,"https://www.google.com/maps/place/%EB%AA%BD%EB%AF%B8/@37.572225,126.8827379,14z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!3m5!1s0x357c993997d88ee3:0x2ce721d1f0d2e6e9!8m2!3d37.5776467!4d126.8961516!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgEaa29yZWFuX2JhcmJlY3VlX3Jlc3RhdXJhbnQ"
12,서울월드컵경기장,인칸토 키친 Ristorante italiano,4.0,이탈리아 음식점,서울특별시 마포구 월드컵북로 361, 11:30~ 10:00,"https://www.google.com/maps/place/%EC%9D%B8%EC%B9%B8%ED%86%A0+%ED%82%A4%EC%B9%9C+Ristorante+italiano/@37.5740958,126.8849265,14z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!3m5!1s0x357c99131ec84ee5:0x6f2a9b24ed747fc!8m2!3d37.5770598!4d126.8913944!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgESaXRhbGlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJOTTNaZlV6bDNSUkFC"
13,서울월드컵경기장,어제그쭈꾸미.JIB,4.3,한식당,서울특별시 마포구 상암동 23-1, 12:00~9:00,"https://www.google.com/maps/place/%EC%96%B4%EC%A0%9C%EA%B7%B8%EC%AD%88%EA%BE%B8%EB%AF%B8.JIB/@37.5750141,126.8884456,15z/data=!4m15!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!3m4!1s0x0:0x1519832994d43db1!8m2!3d37.5762478!4d126.8963606"
14,서울월드컵경기장,본초야채곱창,4.2,음식점,서울특별시 마포구 성산동 352-3, 12:00~10:00,"https://www.google.com/maps/place/%EB%B3%B8%EC%B4%88%EC%95%BC%EC%B1%84%EA%B3%B1%EC%B0%BD/@37.5641548,126.8987775,17z/data=!4m15!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!3m4!1s0x0:0xa2755a25e205bd62!8m2!3d37.5650426!4d126.9015845"
15,노을공원,상냥한 그놈의 밥상,4.0,음식점,서울특별시 마포구 월드컵북로54길 17 B117호, 11:00~ 9:00,"https://www.google.com/maps/place/%EC%83%81%EB%83%A5%ED%95%9C+%EA%B7%B8%EB%86%88%EC%9D%98+%EB%B0%A5%EC%83%81/@37.5755686,126.8834481,15z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!3m5!1s0x357c9972b9d92a77:0x2c5692cdbc8f25f1!8m2!3d37.581329!4d126.888973!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgEKcmVzdGF1cmFudA"
16,노을공원,피슈 마라홍탕 - 상암점 中餐厅,4.3,중국 음식점,"서울특별시 마포구 매봉산로 80 파크엠 1층 7,8호", 11:00~ 9:00,"https://www.google.com/maps/place/%ED%94%BC%EC%8A%88+%EB%A7%88%EB%9D%BC%ED%99%8D%ED%83%95+-+%EC%83%81%EC%95%94%EC%A0%90+%E4%B8%AD%E9%A4%90%E5%8E%85/@37.5773882,126.8901644,17z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!3m5!1s0x357c990e08aed043:0x63db4e6dff1847a!8m2!3d37.5787093!4d126.8944103!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgESY2hpbmVzZV9yZXN0YXVyYW50"
17,노을공원,매드포갈릭 상암MBC점,4.1,이탈리아 음식점,서울특별시 마포구 성암로 255, 11:30~ 10:00,"https://www.google.com/maps/place/%EB%A7%A4%EB%93%9C%ED%8F%AC%EA%B0%88%EB%A6%AD+%EC%83%81%EC%95%94MBC%EC%A0%90/@37.5777539,126.8887375,17z/data=!4m15!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!3m4!1s0x357c990d3dbda97b:0x603c7cd851b9dde!8m2!3d37.5797749!4d126.8913318"
18,노을공원,셰셰,4.1,중국 음식점,서울특별시 마포구 월드컵북로50길 14-6 태광빌딩 1층, 11:30~ 9:30,"https://www.google.com/maps/place/%EC%85%B0%EC%85%B0/@37.5772756,126.8916043,17z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!3m5!1s0x357c9913aaaaaaab:0xcfa2fd05854e7ec6!8m2!3d37.5769612!4d126.8939364!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgESY2hpbmVzZV9yZXN0YXVyYW50"
19,노을공원,신야텐야상암DMC점,4.2,튀김덮밥 전문점,서울특별시 마포구 상암동 월드컵북로 381 2층, 10:20~ 11:30,"https://www.google.com/maps/place/%EC%8B%A0%EC%95%BC%ED%85%90%EC%95%BC%EC%83%81%EC%95%94DMC%EC%A0%90/@37.5774347,126.8886665,18z/data=!4m15!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!3m4!1s0x357c996cdb689301:0x76dcacf983a82602!8m2!3d37.5783529!4d126.8896759"
